ts,root_cpu,root_rss_kb,tree_cpu,tree_rss_kb,npids
1784452747.303,0.0,11748,0.0,11748,1
1784452747.841,0.0,11748,0.0,11748,1
1784452748.381,3.7,11764,3.7,11764,1
1784452748.918,0.0,11772,0.0,11772,1
1784452749.454,0.0,11776,0.0,11776,1
1784452749.989,0.0,11776,0.0,11776,1
1784452750.525,0.0,11780,0.0,11780,1
1784452751.063,0.0,11780,0.0,11780,1
1784452751.599,1.9,11780,1.9,11780,1
1784452752.136,0.0,11780,0.0,11780,1
1784452752.672,0.0,11788,0.0,11788,1
1784452753.209,0.0,11788,0.0,11788,1
1784452753.746,0.0,11788,0.0,11788,1
1784452754.283,0.0,11788,0.0,11788,1
1784452754.821,0.0,11840,0.0,11840,1
1784452755.357,0.0,11840,0.0,11840,1
1784452755.892,0.0,11840,0.0,11840,1
1784452756.427,0.0,11840,0.0,11840,1
1784452756.963,0.0,11840,0.0,11840,1
1784452757.498,0.0,11840,0.0,11840,1
1784452758.033,3.7,11864,3.7,11864,1
1784452758.568,0.0,11892,0.0,11892,1
1784452759.103,0.0,11892,0.0,11892,1
1784452759.640,0.0,11892,0.0,11892,1
1784452760.177,0.0,11896,0.0,11896,1
1784452760.715,0.0,11896,0.0,11900,1
1784452761.253,0.0,11900,0.0,11900,1
1784452761.792,0.0,11900,0.0,11900,1
1784452762.330,0.0,11900,0.0,11900,1
1784452762.867,0.0,11900,0.0,11900,1
1784452763.404,0.0,11900,0.0,11900,1
1784452763.941,1.9,11904,1.9,11904,1
1784452764.480,1.9,11904,1.9,11904,1
1784452765.017,0.0,11904,0.0,11904,1
1784452765.554,0.0,11904,0.0,11904,1
1784452766.093,0.0,11904,0.0,11904,1
1784452766.630,0.0,11904,0.0,11904,1
1784452767.168,0.0,11944,0.0,11944,1
1784452767.703,0.0,11944,0.0,11944,1
1784452768.241,0.0,11944,0.0,11944,1
1784452768.779,0.0,11944,0.0,11944,1
1784452769.316,0.0,11944,0.0,11944,1
1784452769.854,0.0,11944,0.0,11944,1
1784452770.392,0.0,11944,0.0,11944,1
1784452770.929,0.0,11944,0.0,11944,1
1784452771.467,0.0,11944,0.0,11944,1
1784452772.004,0.0,11944,0.0,11944,1
1784452772.542,0.0,11944,0.0,11944,1
1784452773.078,0.0,11944,0.0,11944,1
1784452773.616,0.0,11944,0.0,11944,1
1784452774.154,0.0,11944,0.0,11944,1
1784452774.691,0.0,11944,0.0,11944,1
1784452775.229,0.0,11944,0.0,11944,1
1784452775.767,0.0,11944,0.0,11944,1
1784452776.303,0.0,11944,0.0,11944,1
1784452776.838,0.0,11944,0.0,11944,1
1784452777.375,0.0,11944,0.0,11944,1
1784452777.910,0.0,11944,0.0,11944,1
1784452778.446,0.0,11944,0.0,11944,1
1784452778.982,0.0,11944,0.0,11944,1
1784452779.519,0.0,11944,0.0,11944,1
1784452780.055,0.0,11944,0.0,11944,1
1784452780.591,0.0,11944,0.0,11944,1
1784452781.129,0.0,11944,0.0,11944,1
1784452781.666,0.0,11944,0.0,11944,1
1784452782.202,0.0,11944,0.0,11944,1
1784452782.739,0.0,11944,0.0,11944,1
1784452783.275,0.0,11944,0.0,11944,1
1784452783.812,0.0,11944,0.0,11944,1
1784452784.349,0.0,11944,0.0,11944,1
1784452784.885,0.0,11944,0.0,11944,1
1784452785.421,0.0,11944,0.0,11944,1
1784452785.958,0.0,11944,0.0,11944,1
1784452786.494,0.0,11944,0.0,11944,1
1784452787.031,0.0,11944,0.0,11944,1
1784452787.567,0.0,11944,0.0,11944,1
1784452788.104,0.0,11944,0.0,11944,1
1784452788.641,0.0,11944,0.0,11944,1
1784452789.177,0.0,11944,0.0,11944,1
1784452789.714,0.0,11944,0.0,11944,1
1784452790.251,0.0,11944,0.0,11944,1
1784452790.787,0.0,11944,0.0,11944,1
1784452791.323,0.0,11944,0.0,11944,1
1784452791.860,0.0,11944,0.0,11944,1
1784452792.397,0.0,11944,0.0,11944,1
1784452792.934,0.0,11944,0.0,11944,1
1784452793.472,0.0,11944,0.0,11944,1
1784452794.007,0.0,11944,0.0,11944,1
1784452794.543,0.0,11944,0.0,11944,1
1784452795.080,0.0,11944,0.0,11944,1
1784452795.615,0.0,11944,0.0,11944,1
1784452796.153,0.0,11944,0.0,11944,1
1784452796.687,0.0,11944,0.0,11944,1
1784452797.223,0.0,11944,0.0,11944,1
1784452797.762,0.0,11944,0.0,11944,1
1784452798.299,0.0,11944,0.0,11944,1
1784452798.836,0.0,11944,0.0,11944,1
1784452799.374,0.0,11944,0.0,11944,1
1784452799.914,0.0,11944,0.0,11944,1
1784452800.451,0.0,11944,0.0,11944,1
1784452800.988,0.0,11944,0.0,11944,1
1784452801.527,0.0,11944,0.0,11944,1
1784452802.065,0.0,11944,0.0,11944,1
1784452802.602,0.0,11944,0.0,11944,1
1784452803.139,0.0,11944,0.0,11944,1
1784452803.677,0.0,11944,0.0,11944,1
1784452804.215,0.0,11944,0.0,11944,1
1784452804.752,0.0,12032,0.0,12032,1
1784452805.287,0.0,12164,0.0,12164,1
1784452805.823,0.0,12164,0.0,12164,1
1784452806.361,0.0,12164,0.0,12164,1
1784452806.899,1.9,12172,1.9,12172,1
1784452807.436,0.0,12172,0.0,12172,1
1784452807.975,0.0,12172,0.0,12172,1
1784452808.512,0.0,12172,0.0,12172,1
1784452809.048,0.0,12172,0.0,12172,1
1784452809.586,1.9,12172,1.9,12172,1
1784452810.124,0.0,12172,0.0,12172,1
1784452810.661,1.9,12172,1.9,12172,1
1784452811.198,0.0,12172,0.0,12172,1
1784452811.736,0.0,12172,0.0,12172,1
1784452812.274,0.0,12172,0.0,12172,1
1784452812.812,0.0,12172,0.0,12172,1
1784452813.350,0.0,12172,0.0,12172,1
1784452813.888,0.0,12172,0.0,12172,1
1784452814.427,0.0,12172,0.0,12172,1
1784452814.965,0.0,12172,0.0,12172,1
1784452815.501,1.9,12172,1.9,12172,1
1784452816.040,1.9,12172,1.9,12172,1
1784452816.578,0.0,12172,0.0,12172,1
1784452817.116,0.0,12172,0.0,12172,1
1784452817.653,0.0,12172,0.0,12172,1
1784452818.191,0.0,12172,0.0,12172,1
1784452818.730,0.0,12172,0.0,12172,1
1784452819.267,0.0,12172,0.0,12172,1
1784452819.804,0.0,12172,0.0,12172,1
1784452820.342,0.0,12172,0.0,12172,1
1784452820.877,0.0,12172,0.0,12172,1
1784452821.414,0.0,12172,0.0,12172,1
1784452821.950,0.0,12172,0.0,12172,1
1784452822.487,0.0,12172,0.0,12172,1
1784452823.026,0.0,12172,0.0,12172,1
1784452823.562,0.0,12172,0.0,12172,1
1784452824.099,0.0,12172,0.0,12172,1
